epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,162.66,1.93866,3.5636,1.36632,1.47718,0,0.82023,0.81856,0.86205,0.46153,0.73512,0.68232,0.66714,0.31247,1.95532,3.75076,1.149,1.60918,0,0.00086635,0.00086635,0.00086635
29,168.428,1.89428,3.49239,1.32119,1.44521,0,0.90389,0.77521,0.81387,0.39999,0.79999,0.65639,0.62525,0.26975,2.16145,4.03149,1.39015,1.75305,0,0.0008614,0.0008614,0.0008614
30,174.043,1.9119,3.55068,1.33602,1.46352,0,0.84432,0.70037,0.75868,0.33641,0.71816,0.59416,0.60318,0.23132,2.36281,4.1162,1.49047,1.86913,0,0.00085645,0.00085645,0.00085645
31,179.7,1.88589,3.51909,1.29548,1.44536,0,0.85845,0.79637,0.83218,0.41858,0.74394,0.64072,0.62278,0.24272,2.13031,4.15127,1.23003,1.71444,0,0.0008515,0.0008515,0.0008515
32,185.323,1.85144,3.45281,1.25641,1.42546,0,0.81683,0.75648,0.80305,0.42976,0.72767,0.64663,0.63853,0.28883,2.13325,3.85504,1.30191,1.69746,0,0.00084655,0.00084655,0.00084655
33,190.948,1.88057,3.42996,1.24716,1.45449,0,0.84244,0.79756,0.82344,0.41515,0.78585,0.68572,0.70275,0.26471,2.23113,4.11678,1.19286,1.75078,0,0.0008416,0.0008416,0.0008416
34,196.621,1.87279,3.4221,1.28447,1.44544,0,0.8543,0.75502,0.81714,0.41127,0.79863,0.67337,0.68581,0.30162,2.1395,3.75155,1.24311,1.71617,0,0.00083665,0.00083665,0.00083665
35,202.285,1.84781,3.40183,1.22542,1.43876,0,0.86551,0.781,0.82184,0.42744,0.7703,0.69368,0.68601,0.30615,2.16048,4.00089,1.1553,1.72215,0,0.0008317,0.0008317,0.0008317
36,207.921,1.87292,3.476,1.26224,1.43708,0,0.86447,0.77992,0.84889,0.43657,0.77466,0.67846,0.69135,0.29337,2.14243,3.90109,1.11957,1.73788,0,0.00082675,0.00082675,0.00082675
37,213.545,1.81019,3.41717,1.21514,1.40649,0,0.88827,0.84342,0.88407,0.41906,0.81783,0.74134,0.74312,0.30005,2.24101,3.89917,1.11939,1.76737,0,0.0008218,0.0008218,0.0008218
