model,status,epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
yolov8n-seg.pt,success,200.0,1118.08,1.15953,2.39525,0.50814,1.1553,0.0,0.93121,0.91435,0.92281,0.61352,0.88333,0.86318,0.84895,0.49096,1.50549,2.81757,0.63541,1.41862,0.0,1.495e-05,1.495e-05,1.495e-05
yolo11n-seg.pt,success,200.0,1188.3,1.13985,2.33042,0.51347,1.15491,0.0,0.9323,0.91847,0.93612,0.63138,0.89331,0.88818,0.87546,0.49584,1.53704,2.90861,0.60238,1.43498,0.0,1.495e-05,1.495e-05,1.495e-05
yolo26n-seg.pt,success,200.0,1587.7,1.32783,2.31096,0.4688,0.00995,0.38072,0.92194,0.91031,0.93064,0.62578,0.89499,0.87216,0.87435,0.49586,1.50953,2.78131,0.53022,0.01345,0.0,1.495e-05,1.495e-05,1.495e-05
