epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,52.0599,2.05888,3.97512,2.19863,2.01966,0,0.41048,0.29689,0.34701,0.08935,0.1853,0.17439,0.13459,0.02345,2.40317,4.48986,2.36995,2.35638,0,0.00122141,0.00122141,0.00122141
29,53.802,2.16156,4.04617,2.18658,2.05921,0,0.73814,0.44765,0.56598,0.20749,0.32666,0.31577,0.28967,0.07695,2.11699,4.25616,2.09859,2.19485,0,0.00120491,0.00120491,0.00120491
30,55.5856,2.03523,3.89969,2.09541,1.95578,0,0.42303,0.54668,0.48607,0.16645,0.7937,0.30787,0.34775,0.08712,2.06594,4.28138,2.32848,2.16693,0,0.0011884,0.0011884,0.0011884
31,57.3544,2.05619,3.7964,2.11905,1.96301,0,0.54831,0.46233,0.46889,0.17073,0.30963,0.28706,0.27414,0.07101,2.07995,4.16277,2.2312,2.14182,0,0.0011719,0.0011719,0.0011719
32,59.132,2.0602,3.81579,2.04815,1.97456,0,0.56169,0.3407,0.37912,0.16549,0.36131,0.22277,0.18032,0.05467,2.10321,4.55796,2.35182,2.12796,0,0.0011554,0.0011554,0.0011554
33,60.883,2.01976,3.80499,2.0493,1.97236,0,0.40803,0.25307,0.31218,0.10908,0.13215,0.16998,0.1638,0.06081,2.36136,4.1899,2.56252,2.33911,0,0.00113889,0.00113889,0.00113889
34,62.6341,2.04345,3.77439,1.99366,1.94023,0,0.61492,0.53481,0.58008,0.21505,0.3688,0.38657,0.32296,0.11219,2.11754,4.0715,1.89524,2.1669,0,0.00112239,0.00112239,0.00112239
35,64.4156,2.0751,3.75403,2.05806,1.95601,0,0.64442,0.42875,0.55038,0.17219,0.86761,0.26278,0.31493,0.09859,2.1352,4.29946,2.08171,2.14539,0,0.00110589,0.00110589,0.00110589
36,66.1663,2.11033,3.8431,2.158,1.99614,0,0.47078,0.43694,0.4533,0.15228,0.26846,0.31409,0.29006,0.06874,1.97576,4.17623,2.41899,2.04821,0,0.00108938,0.00108938,0.00108938
37,67.9241,1.98798,3.73888,2.01828,1.90123,0,0.77399,0.40636,0.47474,0.13765,0.35189,0.23301,0.22302,0.05605,2.38036,4.62535,2.45373,2.2401,0,0.00107288,0.00107288,0.00107288
38,69.695,1.99986,3.68727,1.92866,1.87732,0,0.61596,0.47256,0.54421,0.1822,0.40752,0.38165,0.35379,0.09826,2.20916,4.09779,2.12194,2.14769,0,0.00105638,0.00105638,0.00105638
39,71.4545,2.03128,3.75814,1.89534,1.88351,0,0.68198,0.56511,0.58385,0.18871,0.42437,0.40008,0.3322,0.08864,2.38317,4.15014,1.91471,2.20345,0,0.00103987,0.00103987,0.00103987
40,73.2171,1.94726,3.64085,1.83798,1.85759,0,0.7225,0.60197,0.69283,0.20974,0.48839,0.4353,0.36445,0.10245,2.41072,4.02189,1.70158,2.27096,0,0.00102337,0.00102337,0.00102337
41,74.9807,2.00169,3.73572,1.84018,1.8734,0,0.72965,0.68006,0.75326,0.27433,0.40878,0.41818,0.31717,0.08429,2.03146,4.16002,1.72101,1.99464,0,0.00100687,0.00100687,0.00100687
42,76.7641,2.00081,3.70005,1.81798,1.84177,0,0.65274,0.66447,0.68296,0.24887,0.47445,0.40008,0.36747,0.10279,2.16619,4.33621,1.72607,2.02846,0,0.000990365,0.000990365,0.000990365
43,78.5171,2.04425,3.64714,1.73738,1.85677,0,0.49725,0.43694,0.39284,0.08288,0.11395,0.19083,0.08818,0.01231,2.83261,5.10895,2.28082,2.54369,0,0.000973861,0.000973861,0.000973861
44,80.2675,1.93003,3.68841,1.78544,1.83968,0,0.6993,0.56511,0.60858,0.19649,0.47754,0.40537,0.33323,0.08675,2.33209,4.47191,1.74112,2.0553,0,0.000957358,0.000957358,0.000957358
45,82.0168,1.83645,3.56548,1.75519,1.74762,0,0.77449,0.73014,0.79092,0.30813,0.61385,0.52293,0.46715,0.12802,2.02967,4.03306,1.60046,1.93304,0,0.000940855,0.000940855,0.000940855
46,83.7898,1.87269,3.57176,1.70312,1.75688,0,0.53728,0.63104,0.59701,0.25511,0.31201,0.47168,0.33528,0.1078,1.98476,4.08897,1.92588,1.89769,0,0.000924352,0.000924352,0.000924352
47,85.5638,1.82895,3.471,1.72537,1.71604,0,0.88407,0.73142,0.81612,0.36252,0.61608,0.52132,0.47381,0.13842,1.94957,4.12675,1.57496,1.89266,0,0.000907848,0.000907848,0.000907848
48,87.3447,1.86339,3.53139,1.57703,1.70198,0,0.73681,0.7128,0.7512,0.34118,0.59871,0.48608,0.45566,0.16414,1.90918,3.8793,1.4403,1.81065,0,0.000891345,0.000891345,0.000891345
49,89.1192,1.95617,3.49842,1.62254,1.67146,0,0.76454,0.68468,0.73435,0.26891,0.61968,0.48951,0.44989,0.12624,2.24615,4.00479,1.61129,1.97078,0,0.000874842,0.000874842,0.000874842
50,90.9,1.98129,3.59606,1.69816,1.70268,0,0.7978,0.60901,0.70627,0.26883,0.58218,0.4742,0.45474,0.19166,2.14579,3.60484,1.58978,1.92388,0,0.000858338,0.000858338,0.000858338
51,92.6546,1.91071,3.55911,1.66812,1.71822,0,0.76005,0.73933,0.7474,0.31176,0.51049,0.54832,0.44376,0.14778,1.95749,3.79442,1.54072,1.82041,0,0.000841835,0.000841835,0.000841835
52,94.4134,1.80784,3.4982,1.58216,1.66473,0,0.64054,0.66512,0.67647,0.24428,0.46368,0.30221,0.30618,0.10471,2.29761,4.61106,1.66987,2.01528,0,0.000825332,0.000825332,0.000825332
53,96.1655,1.88184,3.58856,1.61788,1.72601,0,0.78739,0.74365,0.80046,0.30898,0.55091,0.43202,0.42433,0.1348,2.13955,4.06335,1.42225,1.89613,0,0.000808828,0.000808828,0.000808828
54,97.9358,1.76291,3.43827,1.5059,1.63427,0,0.78019,0.81517,0.83676,0.39291,0.61825,0.51124,0.46607,0.17946,1.88612,3.74651,1.39304,1.7739,0,0.000792325,0.000792325,0.000792325
55,99.7184,1.79653,3.37543,1.44928,1.60532,0,0.90098,0.7474,0.83474,0.4029,0.67614,0.57535,0.52205,0.19919,1.83337,3.6468,1.27676,1.7281,0,0.000775822,0.000775822,0.000775822
56,101.501,1.7716,3.39504,1.4909,1.61562,0,0.84088,0.69223,0.76952,0.34823,0.60081,0.51205,0.47456,0.188,1.89672,3.61267,1.47362,1.86778,0,0.000759318,0.000759318,0.000759318
57,103.257,1.76481,3.33765,1.51978,1.60475,0,0.64062,0.70417,0.70868,0.34467,0.55366,0.4742,0.44973,0.16364,1.79808,3.71725,1.51627,1.74441,0,0.000742815,0.000742815,0.000742815
58,105.023,1.78726,3.30924,1.47167,1.62153,0,0.86798,0.69968,0.80055,0.35978,0.66218,0.53605,0.49362,0.18297,1.92464,3.72028,1.33396,1.76537,0,0.000726312,0.000726312,0.000726312
59,106.776,1.80028,3.27601,1.41197,1.61074,0,0.77183,0.66134,0.73493,0.32476,0.54817,0.49959,0.44852,0.14774,2.07888,3.9893,1.39088,1.89938,0,0.000709809,0.000709809,0.000709809
60,108.517,1.78745,3.28169,1.46735,1.6321,0,0.74572,0.73874,0.80562,0.30742,0.62425,0.50004,0.50765,0.17581,2.1441,3.93399,1.44041,1.88043,0,0.000693305,0.000693305,0.000693305
61,110.279,1.75298,3.3048,1.49722,1.59809,0,0.65454,0.71427,0.76668,0.31039,0.53659,0.51638,0.43987,0.15118,2.02636,3.77867,1.45884,1.82369,0,0.000676802,0.000676802,0.000676802
62,112.052,1.75965,3.40986,1.42472,1.58112,0,0.86298,0.7364,0.82815,0.38688,0.73653,0.54668,0.5434,0.20622,1.98101,3.57857,1.20944,1.82613,0,0.000660299,0.000660299,0.000660299
63,113.805,1.6995,3.2836,1.40213,1.57069,0,0.75377,0.73697,0.75209,0.3749,0.60245,0.58076,0.51578,0.20224,1.9164,3.5404,1.43966,1.80871,0,0.000643795,0.000643795,0.000643795
64,115.578,1.70028,3.22135,1.32852,1.54725,0,0.85424,0.73087,0.83624,0.37302,0.65967,0.54832,0.50363,0.18118,2.1716,3.74452,1.23328,1.92031,0,0.000627292,0.000627292,0.000627292
65,117.347,1.73519,3.30847,1.35431,1.55683,0,0.71218,0.79607,0.81141,0.38895,0.54604,0.586,0.51002,0.1993,1.89464,3.64327,1.39956,1.73678,0,0.000610789,0.000610789,0.000610789
66,119.109,1.71326,3.24182,1.31928,1.55164,0,0.70322,0.78256,0.7843,0.3954,0.52686,0.5602,0.47492,0.2079,1.81402,3.54218,1.46835,1.76004,0,0.000594286,0.000594286,0.000594286
67,120.899,1.668,3.24499,1.35041,1.53926,0,0.72817,0.77231,0.81563,0.32794,0.48192,0.55856,0.44464,0.14266,2.12325,3.83694,1.40118,1.98233,0,0.000577782,0.000577782,0.000577782
68,122.659,1.62505,3.14809,1.27374,1.49926,0,0.8478,0.75177,0.83748,0.38714,0.7013,0.63432,0.59039,0.23701,1.92702,3.42969,1.30586,1.78293,0,0.000561279,0.000561279,0.000561279
69,124.443,1.65034,3.18318,1.32794,1.5191,0,0.83312,0.80822,0.86177,0.36179,0.73299,0.53481,0.52554,0.17706,2.05538,3.64972,1.2127,1.84852,0,0.000544776,0.000544776,0.000544776
70,126.217,1.68629,3.19717,1.35077,1.52216,0,0.86043,0.84316,0.87772,0.48095,0.74952,0.57699,0.57157,0.23437,1.64726,3.52193,1.1796,1.60796,0,0.000528272,0.000528272,0.000528272
71,128.014,1.65622,3.14854,1.281,1.49569,0,0.80523,0.8495,0.86377,0.43348,0.68678,0.57534,0.53096,0.20351,1.81609,3.56333,1.19173,1.71833,0,0.000511769,0.000511769,0.000511769
72,129.78,1.69658,3.13036,1.3013,1.55393,0,0.83312,0.83645,0.87303,0.36884,0.75974,0.59378,0.53583,0.18521,2.16393,3.78201,1.14213,1.95619,0,0.000495266,0.000495266,0.000495266
73,131.546,1.63471,3.15047,1.22866,1.51261,0,0.86667,0.78829,0.86911,0.49002,0.74866,0.57862,0.56759,0.24386,1.72365,3.4434,1.06083,1.65768,0,0.000478762,0.000478762,0.000478762
74,133.312,1.59554,3.04929,1.22128,1.47299,0,0.8891,0.72887,0.84269,0.38286,0.72182,0.52263,0.53117,0.19183,2.0496,3.76325,1.23562,1.84457,0,0.000462259,0.000462259,0.000462259
75,135.072,1.58727,3.12102,1.25383,1.47515,0,0.77226,0.75657,0.77783,0.41006,0.60791,0.57371,0.5205,0.18904,1.78568,3.51662,1.33599,1.67911,0,0.000445756,0.000445756,0.000445756
76,136.833,1.57192,3.08116,1.21924,1.44172,0,0.83125,0.81196,0.8439,0.43486,0.67968,0.56905,0.53932,0.23397,1.70752,3.48028,1.20533,1.62666,0,0.000429253,0.000429253,0.000429253
77,138.591,1.57283,3.14789,1.19978,1.45215,0,0.8503,0.74806,0.84909,0.40821,0.65859,0.53317,0.50098,0.20698,1.97794,3.55452,1.15473,1.82606,0,0.000412749,0.000412749,0.000412749
78,140.346,1.58527,3.13006,1.20392,1.45758,0,0.8512,0.74038,0.83459,0.35184,0.68351,0.52129,0.48208,0.17384,2.19778,3.85561,1.20188,1.87568,0,0.000396246,0.000396246,0.000396246
79,142.086,1.56161,2.98688,1.14782,1.44365,0,0.89625,0.81122,0.91159,0.44867,0.74039,0.57535,0.57417,0.23563,1.8575,3.40386,1.0513,1.68572,0,0.000379743,0.000379743,0.000379743
80,143.851,1.57144,3.0886,1.16074,1.44927,0,0.83738,0.79607,0.86286,0.47388,0.61917,0.61916,0.55062,0.2295,1.65477,3.44193,1.16467,1.58052,0,0.000363239,0.000363239,0.000363239
81,145.623,1.51806,2.99444,1.10484,1.40986,0,0.83511,0.82637,0.88749,0.41442,0.73799,0.54668,0.57177,0.19879,1.95175,3.73051,1.04206,1.81648,0,0.000346736,0.000346736,0.000346736
