epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,171.141,1.99045,3.66053,1.35199,1.49273,0,0.81069,0.75935,0.80743,0.3839,0.70198,0.65739,0.66052,0.24696,2.2581,4.10872,1.27419,1.80832,0,0.00086635,0.00086635,0.00086635
29,177.135,1.95161,3.51789,1.29786,1.47659,0,0.8252,0.74126,0.79725,0.40644,0.79827,0.60712,0.64575,0.2859,2.10098,3.82101,1.38035,1.72487,0,0.0008614,0.0008614,0.0008614
30,183.05,1.96717,3.58802,1.30397,1.49033,0,0.76341,0.79327,0.80499,0.42247,0.69307,0.72321,0.68011,0.29157,2.04886,3.80749,1.30762,1.69338,0,0.00085645,0.00085645,0.00085645
31,188.963,1.89213,3.54972,1.27536,1.44633,0,0.81864,0.77138,0.83551,0.42556,0.7243,0.67784,0.67654,0.27558,2.2458,3.97422,1.16752,1.82379,0,0.0008515,0.0008515,0.0008515
32,194.896,1.87515,3.47894,1.23034,1.44207,0,0.84488,0.78776,0.83141,0.44936,0.76248,0.6868,0.70678,0.31176,2.09755,3.7635,1.08593,1.72751,0,0.00084655,0.00084655,0.00084655
33,200.79,1.88833,3.46551,1.19206,1.45824,0,0.8239,0.78885,0.79167,0.47157,0.76925,0.71773,0.6983,0.32342,1.86286,3.69601,1.14579,1.59889,0,0.0008416,0.0008416,0.0008416
34,206.702,1.94511,3.48876,1.26652,1.4748,0,0.87492,0.78552,0.85876,0.44281,0.7562,0.65395,0.67078,0.29942,2.10518,3.9094,1.05248,1.70478,0,0.00083665,0.00083665,0.00083665
35,212.618,1.89526,3.44018,1.20642,1.4576,0,0.85038,0.78957,0.85245,0.44114,0.74353,0.68043,0.69674,0.28103,2.12818,3.90433,1.1446,1.6986,0,0.0008317,0.0008317,0.0008317
36,218.633,1.89663,3.50937,1.24418,1.44544,0,0.87218,0.84114,0.87128,0.46864,0.79961,0.73426,0.72501,0.31824,2.07629,3.70308,1.05754,1.67266,0,0.00082675,0.00082675,0.00082675
37,224.551,1.87829,3.48363,1.19718,1.43361,0,0.87258,0.83403,0.85558,0.45464,0.76258,0.71753,0.69074,0.29193,2.01981,4.01373,1.08797,1.66921,0,0.0008218,0.0008218,0.0008218
38,230.458,1.84197,3.45444,1.18996,1.42822,0,0.8317,0.80182,0.86527,0.48847,0.81401,0.70621,0.73095,0.34566,1.97876,3.52713,1.02349,1.63037,0,0.00081685,0.00081685,0.00081685
39,236.372,1.89082,3.44885,1.2272,1.45357,0,0.78312,0.76084,0.77569,0.42913,0.72527,0.68572,0.6674,0.30094,1.84497,3.57562,1.16168,1.58806,0,0.0008119,0.0008119,0.0008119
40,242.287,1.82365,3.41344,1.15518,1.4059,0,0.88064,0.76695,0.8365,0.46267,0.79296,0.67816,0.6669,0.30186,1.99215,3.78745,1.07412,1.69144,0,0.00080695,0.00080695,0.00080695
41,248.149,1.86589,3.47592,1.18113,1.43264,0,0.86233,0.82456,0.84755,0.50851,0.79032,0.7505,0.74128,0.35882,1.81216,3.54582,1.01536,1.57286,0,0.000802,0.000802,0.000802
42,254.099,1.77349,3.35247,1.11424,1.39345,0,0.785,0.82118,0.82763,0.4868,0.72083,0.74876,0.72847,0.35543,1.82894,3.48482,1.02822,1.56499,0,0.00079705,0.00079705,0.00079705
43,260.004,1.82669,3.39412,1.13634,1.41788,0,0.86183,0.78692,0.85798,0.43528,0.71067,0.65988,0.65813,0.2588,2.21418,4.10158,1.01832,1.8122,0,0.0007921,0.0007921,0.0007921
44,265.94,1.7862,3.36094,1.12847,1.3813,0,0.89546,0.83029,0.86917,0.49287,0.79583,0.74352,0.73924,0.32296,1.92551,3.66787,0.92405,1.62605,0,0.00078715,0.00078715,0.00078715
45,271.936,1.82071,3.36448,1.15819,1.44144,0,0.87559,0.83322,0.85396,0.4463,0.78978,0.75043,0.7124,0.30092,2.17132,3.83692,0.98634,1.72883,0,0.0007822,0.0007822,0.0007822
46,277.907,1.80922,3.31127,1.11847,1.4017,0,0.85131,0.83546,0.88421,0.49223,0.77701,0.75013,0.76127,0.35482,1.9382,3.57002,0.95399,1.6157,0,0.00077725,0.00077725,0.00077725
47,283.803,1.8041,3.35971,1.11496,1.40448,0,0.88003,0.85475,0.88078,0.48281,0.7907,0.75039,0.73702,0.33762,1.99532,3.55167,0.94561,1.64309,0,0.0007723,0.0007723,0.0007723
48,289.703,1.75434,3.26418,1.05879,1.37718,0,0.8431,0.79255,0.83776,0.48833,0.81092,0.72654,0.7427,0.3562,1.8891,3.63092,0.98875,1.59499,0,0.00076735,0.00076735,0.00076735
49,295.602,1.79754,3.29301,1.09618,1.39392,0,0.88056,0.80369,0.88491,0.51322,0.83069,0.7252,0.77167,0.38381,1.87867,3.36358,0.96463,1.55385,0,0.0007624,0.0007624,0.0007624
50,301.536,1.81147,3.38284,1.14327,1.41561,0,0.87082,0.80829,0.86253,0.5095,0.81577,0.73914,0.75357,0.36792,1.85739,3.42485,0.98308,1.58029,0,0.00075745,0.00075745,0.00075745
51,307.426,1.78431,3.3753,1.10246,1.38856,0,0.90937,0.83353,0.89329,0.52761,0.80255,0.70305,0.71748,0.32704,1.91826,3.73012,0.88194,1.59553,0,0.0007525,0.0007525,0.0007525
52,313.341,1.75945,3.31589,1.10247,1.38188,0,0.80457,0.82301,0.86009,0.44009,0.77465,0.68616,0.72124,0.31496,2.10528,3.69516,1.03497,1.68894,0,0.00074755,0.00074755,0.00074755
53,319.354,1.72612,3.25976,1.04621,1.36462,0,0.90703,0.83649,0.90388,0.52272,0.82581,0.75749,0.76729,0.37549,1.91686,3.41229,0.84123,1.621,0,0.0007426,0.0007426,0.0007426
54,325.283,1.71752,3.20432,1.03304,1.36247,0,0.85154,0.81262,0.86598,0.51548,0.79834,0.74213,0.7646,0.37176,1.86232,3.56606,0.94889,1.58597,0,0.00073765,0.00073765,0.00073765
55,331.162,1.70064,3.11808,1.04299,1.36678,0,0.9043,0.89444,0.91552,0.56764,0.86194,0.77254,0.80729,0.41033,1.76149,3.26053,0.78709,1.51552,0,0.0007327,0.0007327,0.0007327
56,337.074,1.71051,3.21265,1.04402,1.34831,0,0.88474,0.84508,0.88431,0.52082,0.8332,0.75364,0.75568,0.3812,1.9246,3.50837,0.83716,1.6078,0,0.00072775,0.00072775,0.00072775
57,342.979,1.72189,3.20474,1.05012,1.37011,0,0.89945,0.86723,0.91037,0.56352,0.86809,0.81733,0.82062,0.40352,1.72177,3.33869,0.8063,1.48905,0,0.0007228,0.0007228,0.0007228
58,348.864,1.74359,3.28747,1.09631,1.38381,0,0.90435,0.87144,0.91557,0.55986,0.84066,0.80869,0.79831,0.38998,1.75077,3.3057,0.82174,1.50157,0,0.00071785,0.00071785,0.00071785
59,354.763,1.7371,3.14899,1.00489,1.37757,0,0.93407,0.86155,0.91273,0.55896,0.88968,0.81277,0.82427,0.41239,1.77776,3.24695,0.80443,1.52582,0,0.0007129,0.0007129,0.0007129
60,360.658,1.69286,3.16146,1.0213,1.35894,0,0.88838,0.87669,0.91441,0.55587,0.80518,0.7856,0.76639,0.37916,1.79946,3.34172,0.83399,1.52725,0,0.00070795,0.00070795,0.00070795
61,366.644,1.68063,3.12777,1.0078,1.33633,0,0.90205,0.85927,0.91234,0.53738,0.83374,0.79685,0.79878,0.38906,1.81105,3.47396,0.87581,1.5554,0,0.000703,0.000703,0.000703
62,372.558,1.66409,3.14758,1.03502,1.33537,0,0.9024,0.86696,0.90599,0.54317,0.85081,0.77083,0.77613,0.40426,1.81044,3.33162,0.84517,1.54499,0,0.00069805,0.00069805,0.00069805
