[INFO] Session log file: dataset/debug/session_20260519_173805.log
[DEBUG] frames: total=1, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2533235916, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=2, depth_sets=1, color=1280×720,OBFormat.RGB,ts=2533236149, depth=640×576,OBFormat.Y16,ts=2533236150
[DEBUG] frames: total=3, depth_sets=2, color=1280×720,OBFormat.RGB,ts=2533236448, depth=640×576,OBFormat.Y16,ts=2533236449
[DEBUG] frames: total=4, depth_sets=3, color=1280×720,OBFormat.RGB,ts=2533236615, depth=640×576,OBFormat.Y16,ts=2533236616
[DEBUG] frames: total=5, depth_sets=4, color=1280×720,OBFormat.RGB,ts=2533236714, depth=640×576,OBFormat.Y16,ts=2533236715
[DEBUG] frames: total=6, depth_sets=5, color=1280×720,OBFormat.RGB,ts=2533236814, depth=640×576,OBFormat.Y16,ts=2533236815
[DEBUG] frames: total=7, depth_sets=6, color=1280×720,OBFormat.RGB,ts=2533236881, depth=640×576,OBFormat.Y16,ts=2533236882
[DEBUG] frames: total=8, depth_sets=7, color=1280×720,OBFormat.RGB,ts=2533236980, depth=640×576,OBFormat.Y16,ts=2533236981
[DEBUG] frames: total=9, depth_sets=8, color=1280×720,OBFormat.RGB,ts=2533237047, depth=640×576,OBFormat.Y16,ts=2533237048
[DEBUG] frames: total=10, depth_sets=9, color=1280×720,OBFormat.RGB,ts=2533237113, depth=640×576,OBFormat.Y16,ts=2533237114
[DEBUG] frames: total=11, depth_sets=10, color=1280×720,OBFormat.RGB,ts=2533237180, depth=640×576,OBFormat.Y16,ts=2533237181
[DEBUG] frames: total=12, depth_sets=11, color=1280×720,OBFormat.RGB,ts=2533237280, depth=640×576,OBFormat.Y16,ts=2533237281
[DEBUG] frames: total=13, depth_sets=12, color=1280×720,OBFormat.RGB,ts=2533237346, depth=640×576,OBFormat.Y16,ts=2533237347
[DEBUG] frames: total=14, depth_sets=13, color=1280×720,OBFormat.RGB,ts=2533237479, depth=640×576,OBFormat.Y16,ts=2533237480
[DEBUG] frames: total=15, depth_sets=14, color=1280×720,OBFormat.RGB,ts=2533237579, depth=640×576,OBFormat.Y16,ts=2533237580
[DEBUG] frames: total=16, depth_sets=15, color=1280×720,OBFormat.RGB,ts=2533237712, depth=640×576,OBFormat.Y16,ts=2533237713
[DEBUG] frames: total=17, depth_sets=16, color=1280×720,OBFormat.RGB,ts=2533237812, depth=640×576,OBFormat.Y16,ts=2533237813
