[INFO] Session log file: dataset/debug/session_20260520_164514.log
[DEBUG] frames: total=1, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2616465765, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=45, depth_sets=44, color=1280×720,OBFormat.RGB,ts=2616470088, depth=640×576,OBFormat.Y16,ts=2616470089
[DEBUG] frames: total=46, depth_sets=45, color=1280×720,OBFormat.RGB,ts=2616470187, depth=640×576,OBFormat.Y16,ts=2616470189
[DEBUG] frames: total=47, depth_sets=46, color=1280×720,OBFormat.RGB,ts=2616470254, depth=640×576,OBFormat.Y16,ts=2616470255
[DEBUG] frames: total=48, depth_sets=47, color=1280×720,OBFormat.RGB,ts=2616470354, depth=640×576,OBFormat.Y16,ts=2616470355
[DEBUG] frames: total=49, depth_sets=48, color=1280×720,OBFormat.RGB,ts=2616470453, depth=640×576,OBFormat.Y16,ts=2616470455
[DEBUG] frames: total=50, depth_sets=49, color=1280×720,OBFormat.RGB,ts=2616470520, depth=640×576,OBFormat.Y16,ts=2616470521
[DEBUG] frames: total=51, depth_sets=50, color=1280×720,OBFormat.RGB,ts=2616470620, depth=640×576,OBFormat.Y16,ts=2616470621
[DEBUG] frames: total=52, depth_sets=51, color=1280×720,OBFormat.RGB,ts=2616470686, depth=640×576,OBFormat.Y16,ts=2616470687
[DEBUG] frames: total=53, depth_sets=52, color=1280×720,OBFormat.RGB,ts=2616470786, depth=640×576,OBFormat.Y16,ts=2616470787
[DEBUG] frames: total=54, depth_sets=53, color=1280×720,OBFormat.RGB,ts=2616470852, depth=640×576,OBFormat.Y16,ts=2616470854
[DEBUG] frames: total=55, depth_sets=54, color=1280×720,OBFormat.RGB,ts=2616470952, depth=640×576,OBFormat.Y16,ts=2616470953
[DEBUG] frames: total=56, depth_sets=55, color=1280×720,OBFormat.RGB,ts=2616471052, depth=640×576,OBFormat.Y16,ts=2616471053
[DEBUG] frames: total=57, depth_sets=56, color=1280×720,OBFormat.RGB,ts=2616471152, depth=640×576,OBFormat.Y16,ts=2616471153
[DEBUG] frames: total=58, depth_sets=57, color=1280×720,OBFormat.RGB,ts=2616471251, depth=640×576,OBFormat.Y16,ts=2616471253
