[INFO] Session log file: dataset/debug/session_20260519_180445.log
[DEBUG] frames: total=1, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2534835624, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=2, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2534835691, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=3, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2534835724, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=45, depth_sets=42, color=1280×720,OBFormat.RGB,ts=2534840113, depth=640×576,OBFormat.Y16,ts=2534840115
[DEBUG] frames: total=46, depth_sets=43, color=1280×720,OBFormat.RGB,ts=2534840180, depth=640×576,OBFormat.Y16,ts=2534840181
[DEBUG] frames: total=47, depth_sets=44, color=1280×720,OBFormat.RGB,ts=2534840280, depth=640×576,OBFormat.Y16,ts=2534840281
[DEBUG] frames: total=48, depth_sets=45, color=1280×720,OBFormat.RGB,ts=2534840413, depth=640×576,OBFormat.Y16,ts=2534840414
[DEBUG] frames: total=49, depth_sets=46, color=1280×720,OBFormat.RGB,ts=2534840579, depth=640×576,OBFormat.Y16,ts=2534840580
[DEBUG] frames: total=50, depth_sets=47, color=1280×720,OBFormat.RGB,ts=2534840679, depth=640×576,OBFormat.Y16,ts=2534840680
[DEBUG] frames: total=51, depth_sets=48, color=1280×720,OBFormat.RGB,ts=2534840778, depth=640×576,OBFormat.Y16,ts=2534840780
[DEBUG] frames: total=52, depth_sets=49, color=1280×720,OBFormat.RGB,ts=2534840845, depth=640×576,OBFormat.Y16,ts=2534840846
[DEBUG] frames: total=53, depth_sets=50, color=1280×720,OBFormat.RGB,ts=2534840978, depth=640×576,OBFormat.Y16,ts=2534840979
[DEBUG] frames: total=54, depth_sets=51, color=1280×720,OBFormat.RGB,ts=2534841111, depth=640×576,OBFormat.Y16,ts=2534841112
[DEBUG] frames: total=55, depth_sets=52, color=1280×720,OBFormat.RGB,ts=2534841244, depth=640×576,OBFormat.Y16,ts=2534841245
[DEBUG] frames: total=56, depth_sets=53, color=1280×720,OBFormat.RGB,ts=2534841410, depth=640×576,OBFormat.Y16,ts=2534841411
[DEBUG] frames: total=57, depth_sets=54, color=1280×720,OBFormat.RGB,ts=2534841477, depth=640×576,OBFormat.Y16,ts=2534841478
[DEBUG] frames: total=58, depth_sets=55, color=1280×720,OBFormat.RGB,ts=2534841576, depth=640×576,OBFormat.Y16,ts=2534841578
[DEBUG] frames: total=59, depth_sets=56, color=1280×720,OBFormat.RGB,ts=2534841643, depth=640×576,OBFormat.Y16,ts=2534841644
[DEBUG] frames: total=60, depth_sets=57, color=1280×720,OBFormat.RGB,ts=2534841743, depth=640×576,OBFormat.Y16,ts=2534841744
[DEBUG] frames: total=61, depth_sets=58, color=1280×720,OBFormat.RGB,ts=2534841809, depth=640×576,OBFormat.Y16,ts=2534841810
[DEBUG] frames: total=62, depth_sets=59, color=1280×720,OBFormat.RGB,ts=2534841876, depth=640×576,OBFormat.Y16,ts=2534841877
[DEBUG] frames: total=63, depth_sets=60, color=1280×720,OBFormat.RGB,ts=2534841975, depth=640×576,OBFormat.Y16,ts=2534841977
[DEBUG] frames: total=64, depth_sets=61, color=1280×720,OBFormat.RGB,ts=2534842042, depth=640×576,OBFormat.Y16,ts=2534842043
[DEBUG] frames: total=65, depth_sets=62, color=1280×720,OBFormat.RGB,ts=2534842142, depth=640×576,OBFormat.Y16,ts=2534842143
[DEBUG] frames: total=66, depth_sets=63, color=1280×720,OBFormat.RGB,ts=2534842208, depth=640×576,OBFormat.Y16,ts=2534842209
[DEBUG] frames: total=67, depth_sets=64, color=1280×720,OBFormat.RGB,ts=2534842275, depth=640×576,OBFormat.Y16,ts=2534842276
[DEBUG] frames: total=68, depth_sets=65, color=1280×720,OBFormat.RGB,ts=2534842375, depth=640×576,OBFormat.Y16,ts=2534842376
[DEBUG] frames: total=69, depth_sets=66, color=1280×720,OBFormat.RGB,ts=2534842441, depth=640×576,OBFormat.Y16,ts=2534842442
[DEBUG] frames: total=70, depth_sets=67, color=1280×720,OBFormat.RGB,ts=2534842541, depth=640×576,OBFormat.Y16,ts=2534842542
[DEBUG] frames: total=71, depth_sets=68, color=1280×720,OBFormat.RGB,ts=2534842607, depth=640×576,OBFormat.Y16,ts=2534842608
[DEBUG] frames: total=72, depth_sets=69, color=1280×720,OBFormat.RGB,ts=2534842674, depth=640×576,OBFormat.Y16,ts=2534842675
[DEBUG] frames: total=73, depth_sets=70, color=1280×720,OBFormat.RGB,ts=2534842774, depth=640×576,OBFormat.Y16,ts=2534842775
[DEBUG] frames: total=74, depth_sets=71, color=1280×720,OBFormat.RGB,ts=2534842873, depth=640×576,OBFormat.Y16,ts=2534842874
[DEBUG] frames: total=75, depth_sets=72, color=1280×720,OBFormat.RGB,ts=2534842973, depth=640×576,OBFormat.Y16,ts=2534842974
[DEBUG] frames: total=76, depth_sets=73, color=1280×720,OBFormat.RGB,ts=2534843040, depth=640×576,OBFormat.Y16,ts=2534843041
[DEBUG] frames: total=77, depth_sets=74, color=1280×720,OBFormat.RGB,ts=2534843139, depth=640×576,OBFormat.Y16,ts=2534843140
[DEBUG] frames: total=78, depth_sets=75, color=1280×720,OBFormat.RGB,ts=2534843206, depth=640×576,OBFormat.Y16,ts=2534843207
[DEBUG] frames: total=79, depth_sets=76, color=1280×720,OBFormat.RGB,ts=2534843272, depth=640×576,OBFormat.Y16,ts=2534843273
[DEBUG] frames: total=80, depth_sets=77, color=1280×720,OBFormat.RGB,ts=2534843372, depth=640×576,OBFormat.Y16,ts=2534843373
[DEBUG] frames: total=81, depth_sets=78, color=1280×720,OBFormat.RGB,ts=2534843439, depth=640×576,OBFormat.Y16,ts=2534843440
[DEBUG] frames: total=82, depth_sets=79, color=1280×720,OBFormat.RGB,ts=2534843538, depth=640×576,OBFormat.Y16,ts=2534843539
[DEBUG] frames: total=83, depth_sets=80, color=1280×720,OBFormat.RGB,ts=2534843605, depth=640×576,OBFormat.Y16,ts=2534843606
[DEBUG] frames: total=84, depth_sets=81, color=1280×720,OBFormat.RGB,ts=2534843705, depth=640×576,OBFormat.Y16,ts=2534843706
[DEBUG] frames: total=85, depth_sets=82, color=1280×720,OBFormat.RGB,ts=2534843771, depth=640×576,OBFormat.Y16,ts=2534843772
[DEBUG] frames: total=86, depth_sets=83, color=1280×720,OBFormat.RGB,ts=2534843871, depth=640×576,OBFormat.Y16,ts=2534843872
[DEBUG] frames: total=87, depth_sets=84, color=1280×720,OBFormat.RGB,ts=2534843937, depth=640×576,OBFormat.Y16,ts=2534843939
