epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,9.16548,2.62371,5.64893,5.08924,0.01763,5.2224,0,0,0,0,0,0,0,0,2.87679,16.685,5.70822,0.03074,0,0.000197101,0.000197101,0.080487
2,17.6374,2.49957,4.93183,3.65344,0.01608,3.16342,0.00532,0.12925,0.01003,0.00226,0.00723,0.17699,0.00408,0.00115,3.07123,7.75776,7.19142,0.03436,0,0.000395136,0.000395136,0.060685
3,25.5931,2.32,4.61324,3.22679,0.01456,2.6221,0.01359,0.79229,0.07331,0.022,0.00837,0.48489,0.03215,0.00661,2.42235,8.35333,3.52117,0.02308,0,0.00059119,0.00059119,0.040881
4,33.4829,2.3102,4.50979,2.99812,0.01465,2.42479,0.22842,0.08623,0.07952,0.02569,0.01415,0.27706,0.00942,0.00186,2.64757,10.5434,3.46351,0.02633,0,0.000785264,0.000785264,0.0210751
5,41.3018,2.29124,4.43642,2.87976,0.01458,2.36333,0.2561,0.14978,0.13759,0.04456,0.19276,0.09535,0.07742,0.01999,2.55086,5.56981,3.15648,0.02597,0,0.000977359,0.000977359,0.00126721
6,49.2189,2.26256,4.38403,2.765,0.01428,2.21249,0.38509,0.18387,0.19752,0.05691,0.24872,0.126,0.11546,0.03158,2.46588,5.26019,3.0723,0.024,0,0.00097525,0.00097525,0.00097525
7,56.9689,2.21721,4.28114,2.61771,0.01399,1.99072,0.32902,0.33604,0.2547,0.08768,0.2747,0.25661,0.17484,0.05381,2.2654,4.9394,2.71559,0.02201,0,0.0009703,0.0009703,0.0009703
8,64.7572,2.23881,4.21145,2.457,0.01393,1.8855,0.41171,0.37241,0.34547,0.12061,0.31442,0.29642,0.22114,0.06788,2.25804,5.16389,2.74003,0.02151,0,0.00096535,0.00096535,0.00096535
9,72.549,2.21786,4.15294,2.41155,0.01389,1.82388,0.45337,0.4884,0.42135,0.15318,0.34253,0.37021,0.27197,0.07927,2.25657,4.60436,2.27916,0.02148,0,0.0009604,0.0009604,0.0009604
10,80.45,2.22758,4.10956,2.32407,0.01397,1.77617,0.54738,0.4544,0.46612,0.19233,0.42339,0.30999,0.26863,0.06626,2.18712,4.90623,2.33977,0.02073,0,0.00095545,0.00095545,0.00095545
11,88.2359,2.15989,4.00168,2.14159,0.0132,1.68138,0.56484,0.57672,0.56032,0.18247,0.43667,0.46556,0.40404,0.12384,2.36617,4.49477,2.00181,0.02342,0,0.0009505,0.0009505,0.0009505
12,96.0342,2.19073,4.02903,2.12336,0.01352,1.71826,0.62379,0.57284,0.57535,0.23998,0.54792,0.49973,0.44823,0.16543,2.25324,4.3754,2.01365,0.02142,0,0.00094555,0.00094555,0.00094555
13,103.847,2.16291,3.90379,2.07124,0.01338,1.68593,0.59597,0.53707,0.57266,0.24069,0.52097,0.46564,0.45342,0.16658,2.30347,4.23041,2.0035,0.02215,0,0.0009406,0.0009406,0.0009406
14,111.773,2.17416,3.89505,2.02034,0.01377,1.63206,0.56738,0.61614,0.60859,0.25831,0.47851,0.5167,0.46348,0.16572,2.266,4.38112,1.99442,0.02184,0,0.00093565,0.00093565,0.00093565
15,119.537,2.14772,3.89404,1.976,0.0132,1.66364,0.63932,0.65877,0.68758,0.28884,0.62451,0.53254,0.54372,0.21165,2.24804,4.17512,1.6265,0.02142,0,0.0009307,0.0009307,0.0009307
16,127.343,2.1308,3.8782,1.9599,0.01314,1.63059,0.61767,0.62157,0.67057,0.30186,0.51964,0.54167,0.52997,0.20378,2.12327,4.15971,1.71362,0.02047,0,0.00092575,0.00092575,0.00092575
