[INFO] FPS log: live-data/logs/live_fps_20260622_222807.log
[INFO] Loading model: mbest.pt
[INFO] Initializing camera...
[INFO] Ready.  S=screenshot  R=record  Q=quit
[INFO] Inference crop: x=[250:760]  (510px wide — matches training data)
[FPS] live=0.12 fps | infer_avg=7474.6 ms | detections=8 | model=mbest.pt
[FPS] live=0.19 fps | infer_avg=5017.8 ms | detections=8 | model=mbest.pt
[FPS] live=0.28 fps | infer_avg=3359.6 ms | detections=8 | model=mbest.pt
[FPS] live=0.34 fps | infer_avg=2753.5 ms | detections=8 | model=mbest.pt
[FPS] live=0.39 fps | infer_avg=2405.7 ms | detections=8 | model=mbest.pt
[FPS] live=0.24 fps | infer_avg=3941.1 ms | detections=8 | model=mbest.pt
[FPS] live=0.42 fps | infer_avg=2192.0 ms | detections=8 | model=mbest.pt
[FPS] live=0.23 fps | infer_avg=4080.5 ms | detections=7 | model=mbest.pt
[FPS] live=0.48 fps | infer_avg=1927.8 ms | detections=9 | model=mbest.pt
[FPS] live=0.44 fps | infer_avg=2106.4 ms | detections=14 | model=mbest.pt
[FPS] live=0.51 fps | infer_avg=1788.6 ms | detections=13 | model=mbest.pt
[FPS] live=0.46 fps | infer_avg=2027.6 ms | detections=13 | model=mbest.pt
[FPS] live=0.47 fps | infer_avg=1911.9 ms | detections=13 | model=mbest.pt
[FPS] live=0.51 fps | infer_avg=1818.2 ms | detections=13 | model=mbest.pt
[FPS] live=0.44 fps | infer_avg=2143.1 ms | detections=12 | model=mbest.pt
[FPS] live=0.52 fps | infer_avg=1750.6 ms | detections=12 | model=mbest.pt
[FPS] live=0.44 fps | infer_avg=2117.4 ms | detections=11 | model=mbest.pt
[FPS] live=0.37 fps | infer_avg=2517.9 ms | detections=12 | model=mbest.pt
[FPS] live=0.44 fps | infer_avg=2081.1 ms | detections=12 | model=mbest.pt
[FPS] live=0.39 fps | infer_avg=2374.9 ms | detections=12 | model=mbest.pt
[FPS] live=0.46 fps | infer_avg=2009.4 ms | detections=10 | model=mbest.pt
[FPS] live=0.48 fps | infer_avg=1938.5 ms | detections=11 | model=mbest.pt
[FPS] live=0.47 fps | infer_avg=1957.8 ms | detections=10 | model=mbest.pt
[FPS] live=0.53 fps | infer_avg=1682.6 ms | detections=12 | model=mbest.pt
[FPS] live=0.41 fps | infer_avg=2216.7 ms | detections=12 | model=mbest.pt
[FPS] live=0.56 fps | infer_avg=1681.2 ms | detections=12 | model=mbest.pt
[FPS] live=0.40 fps | infer_avg=2362.7 ms | detections=12 | model=mbest.pt
[FPS] live=0.42 fps | infer_avg=2186.8 ms | detections=13 | model=mbest.pt
[FPS] live=0.48 fps | infer_avg=1936.5 ms | detections=12 | model=mbest.pt
[FPS] live=0.44 fps | infer_avg=2111.0 ms | detections=12 | model=mbest.pt
[FPS] live=0.61 fps | infer_avg=1512.5 ms | detections=12 | model=mbest.pt
[FPS] live=0.48 fps | infer_avg=1914.8 ms | detections=11 | model=mbest.pt
[FPS] live=0.47 fps | infer_avg=1973.8 ms | detections=13 | model=mbest.pt
[FPS] live=0.45 fps | infer_avg=2086.5 ms | detections=11 | model=mbest.pt
[FPS] live=0.55 fps | infer_avg=1668.8 ms | detections=12 | model=mbest.pt
[FPS] live=0.43 fps | infer_avg=2143.4 ms | detections=12 | model=mbest.pt
[FPS] live=0.52 fps | infer_avg=1768.4 ms | detections=12 | model=mbest.pt
[FPS] live=0.41 fps | infer_avg=2272.0 ms | detections=12 | model=mbest.pt
[FPS] live=0.52 fps | infer_avg=1786.9 ms | detections=12 | model=mbest.pt
[FPS] live=0.47 fps | infer_avg=2025.8 ms | detections=12 | model=mbest.pt
[FPS] live=0.49 fps | infer_avg=1873.0 ms | detections=12 | model=mbest.pt
[FPS] live=0.48 fps | infer_avg=1902.8 ms | detections=12 | model=mbest.pt
[FPS] live=0.48 fps | infer_avg=1882.8 ms | detections=12 | model=mbest.pt
[FPS] live=0.53 fps | infer_avg=1738.2 ms | detections=12 | model=mbest.pt
[FPS] live=0.45 fps | infer_avg=2112.4 ms | detections=12 | model=mbest.pt
[FPS] live=0.50 fps | infer_avg=1810.3 ms | detections=11 | model=mbest.pt
[FPS] live=0.49 fps | infer_avg=1860.0 ms | detections=12 | model=mbest.pt
[FPS] live=0.39 fps | infer_avg=2389.2 ms | detections=13 | model=mbest.pt
[FPS] live=0.49 fps | infer_avg=1903.2 ms | detections=12 | model=mbest.pt
[FPS] live=0.51 fps | infer_avg=1751.9 ms | detections=13 | model=mbest.pt
[FPS] live=0.53 fps | infer_avg=1701.2 ms | detections=10 | model=mbest.pt
[FPS] live=0.45 fps | infer_avg=2123.5 ms | detections=7 | model=mbest.pt
[FPS] live=0.47 fps | infer_avg=1985.5 ms | detections=12 | model=mbest.pt
[FPS] live=0.44 fps | infer_avg=2072.4 ms | detections=12 | model=mbest.pt
