[INFO] FPS log: live-data/logs/live_fps_20260622_222021.log
[INFO] Loading model: mbest.pt
[INFO] Initializing camera...
[INFO] Ready.  S=screenshot  R=record  Q=quit
[INFO] Inference crop: x=[250:760]  (510px wide — matches training data)
[FPS] live=0.17 fps | infer_avg=5413.8 ms | detections=6 | model=mbest.pt
[FPS] live=0.67 fps | infer_avg=1346.4 ms | detections=6 | model=mbest.pt
[FPS] live=0.27 fps | infer_avg=3542.9 ms | detections=6 | model=mbest.pt
[FPS] live=0.36 fps | infer_avg=2485.5 ms | detections=6 | model=mbest.pt
[FPS] live=0.56 fps | infer_avg=1669.0 ms | detections=6 | model=mbest.pt
[FPS] live=0.45 fps | infer_avg=2109.1 ms | detections=6 | model=mbest.pt
[FPS] live=0.44 fps | infer_avg=2108.8 ms | detections=6 | model=mbest.pt
[FPS] live=0.52 fps | infer_avg=1801.8 ms | detections=6 | model=mbest.pt
[FPS] live=0.52 fps | infer_avg=1805.5 ms | detections=6 | model=mbest.pt
[FPS] live=0.43 fps | infer_avg=2213.3 ms | detections=6 | model=mbest.pt
[FPS] live=0.51 fps | infer_avg=1822.8 ms | detections=6 | model=mbest.pt
[FPS] live=0.45 fps | infer_avg=2100.0 ms | detections=6 | model=mbest.pt
[FPS] live=0.56 fps | infer_avg=1660.3 ms | detections=6 | model=mbest.pt
[FPS] live=0.51 fps | infer_avg=1838.0 ms | detections=6 | model=mbest.pt
[FPS] live=0.46 fps | infer_avg=2032.6 ms | detections=6 | model=mbest.pt
[FPS] live=0.51 fps | infer_avg=1848.7 ms | detections=6 | model=mbest.pt
[FPS] live=0.30 fps | infer_avg=3257.4 ms | detections=6 | model=mbest.pt
[FPS] live=0.53 fps | infer_avg=1789.5 ms | detections=6 | model=mbest.pt
[FPS] live=0.44 fps | infer_avg=2126.3 ms | detections=6 | model=mbest.pt
[FPS] live=0.56 fps | infer_avg=1635.0 ms | detections=6 | model=mbest.pt
[FPS] live=0.46 fps | infer_avg=2083.9 ms | detections=6 | model=mbest.pt
[FPS] live=0.54 fps | infer_avg=1715.6 ms | detections=6 | model=mbest.pt
[FPS] live=0.57 fps | infer_avg=1638.4 ms | detections=6 | model=mbest.pt
[FPS] live=0.43 fps | infer_avg=2172.3 ms | detections=6 | model=mbest.pt
