epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,175.492,1.79731,3.19793,1.40855,1.58344,0,0.49786,0.73861,0.72874,0.31871,0.3896,0.62845,0.53373,0.18507,1.98043,3.48959,1.66524,1.7872,0,0.00122141,0.00122141,0.00122141
29,181.536,1.7779,3.187,1.36796,1.568,0,0.85631,0.78911,0.8318,0.3696,0.6821,0.61882,0.59003,0.17617,1.99392,3.79691,1.23737,1.75801,0,0.00120491,0.00120491,0.00120491
30,187.601,1.79305,3.2705,1.37644,1.57747,0,0.80258,0.77392,0.80146,0.35654,0.64986,0.57888,0.57484,0.19232,2.04131,3.61268,1.25366,1.81832,0,0.0011884,0.0011884,0.0011884
31,193.659,1.76675,3.19985,1.34641,1.5689,0,0.57739,0.7368,0.77274,0.38429,0.49984,0.67161,0.64237,0.24435,1.84665,3.42619,1.40293,1.64869,0,0.0011719,0.0011719,0.0011719
32,199.719,1.75756,3.20876,1.34222,1.57725,0,0.78018,0.57927,0.71827,0.27136,0.62134,0.43017,0.45437,0.14108,2.36861,4.24191,1.45555,2.14309,0,0.0011554,0.0011554,0.0011554
33,205.792,1.74557,3.18556,1.32319,1.56501,0,0.87942,0.80926,0.86444,0.50484,0.79855,0.73243,0.71487,0.32385,1.62083,3.06084,1.01801,1.56656,0,0.00113889,0.00113889,0.00113889
34,211.981,1.74922,3.15588,1.29216,1.53972,0,0.74087,0.71887,0.83258,0.46968,0.65443,0.63246,0.64893,0.26702,1.66148,3.25907,1.19168,1.5659,0,0.00112239,0.00112239,0.00112239
35,218.046,1.7588,3.18351,1.32172,1.55308,0,0.87953,0.81851,0.84798,0.45086,0.75562,0.6868,0.66851,0.27087,1.74605,3.30051,1.14299,1.6379,0,0.00110589,0.00110589,0.00110589
36,224.094,1.69126,3.04542,1.26994,1.49627,0,0.80441,0.72534,0.79957,0.30682,0.63947,0.55407,0.52954,0.15672,2.28896,3.85645,1.49111,2.07267,0,0.00108938,0.00108938,0.00108938
37,230.171,1.67966,3.06357,1.23567,1.49641,0,0.872,0.80137,0.84301,0.44477,0.80172,0.70431,0.68813,0.27573,1.73102,3.12044,1.02435,1.58416,0,0.00107288,0.00107288,0.00107288
38,236.217,1.71113,3.08268,1.24691,1.50883,0,0.85233,0.81622,0.87708,0.42187,0.77141,0.70301,0.69086,0.23041,1.88213,3.3723,1.04997,1.63477,0,0.00105638,0.00105638,0.00105638
39,242.273,1.63864,3.03198,1.20564,1.47076,0,0.90585,0.82679,0.88807,0.51026,0.82344,0.77082,0.75239,0.30354,1.62288,3.10115,0.9022,1.51838,0,0.00103987,0.00103987,0.00103987
40,248.41,1.63992,3.04352,1.16678,1.46119,0,0.9142,0.85798,0.89722,0.50398,0.81157,0.7803,0.7371,0.31963,1.63229,3.1053,0.87586,1.51523,0,0.00102337,0.00102337,0.00102337
41,254.459,1.63611,3.06219,1.19163,1.47324,0,0.76557,0.72457,0.84167,0.47667,0.66402,0.62612,0.65516,0.28122,1.66913,3.17126,1.17565,1.57206,0,0.00100687,0.00100687,0.00100687
42,260.497,1.67869,3.00994,1.20456,1.47784,0,0.70196,0.74229,0.81275,0.43747,0.58511,0.63961,0.64247,0.26652,1.75725,3.26951,1.26219,1.65431,0,0.000990365,0.000990365,0.000990365
43,266.568,1.5982,2.98818,1.14763,1.44961,0,0.91656,0.80243,0.8863,0.51835,0.7786,0.75677,0.73909,0.33258,1.59965,3.07167,1.00728,1.56187,0,0.000973861,0.000973861,0.000973861
44,272.615,1.58665,2.96214,1.16493,1.45525,0,0.79179,0.78784,0.87045,0.54681,0.73139,0.73906,0.76245,0.34876,1.43741,2.98151,1.00326,1.4492,0,0.000957358,0.000957358,0.000957358
45,278.68,1.58946,2.89914,1.12616,1.45794,0,0.65765,0.75805,0.78498,0.43512,0.58992,0.63305,0.65069,0.25071,1.73926,3.20933,1.28332,1.56915,0,0.000940855,0.000940855,0.000940855
46,284.741,1.56039,2.90474,1.10997,1.42959,0,0.90607,0.85211,0.89423,0.56487,0.83908,0.78227,0.75832,0.34438,1.41623,2.99819,0.86362,1.4037,0,0.000924352,0.000924352,0.000924352
47,290.902,1.51706,2.90038,1.09883,1.40618,0,0.89413,0.83654,0.87624,0.56255,0.83576,0.77304,0.75933,0.35707,1.43285,2.97515,0.89466,1.44638,0,0.000907848,0.000907848,0.000907848
48,296.977,1.54084,2.91801,1.1182,1.42098,0,0.72792,0.77411,0.85442,0.52079,0.63137,0.69243,0.69234,0.33281,1.44455,2.93923,1.06256,1.44689,0,0.000891345,0.000891345,0.000891345
49,302.996,1.57131,2.87337,1.08911,1.44754,0,0.88948,0.77811,0.86044,0.38152,0.79447,0.67446,0.69994,0.23971,2.08508,3.4237,1.08127,1.93776,0,0.000874842,0.000874842,0.000874842
50,309.045,1.51922,2.86582,1.06355,1.41129,0,0.73799,0.77528,0.79187,0.39853,0.66532,0.63276,0.62629,0.2296,1.88739,3.37721,1.32976,1.73635,0,0.000858338,0.000858338,0.000858338
51,315.088,1.51061,2.86824,1.03787,1.38234,0,0.75237,0.70633,0.82729,0.50257,0.66158,0.6419,0.68379,0.30211,1.53295,3.05237,1.14316,1.45914,0,0.000841835,0.000841835,0.000841835
52,321.148,1.49677,2.82837,1.0528,1.39573,0,0.87116,0.86464,0.89095,0.55513,0.78096,0.78565,0.74278,0.33224,1.47969,2.99216,0.83362,1.4414,0,0.000825332,0.000825332,0.000825332
53,327.176,1.5321,2.86361,1.02051,1.39728,0,0.90723,0.84286,0.9007,0.58405,0.84187,0.77319,0.78818,0.38454,1.36177,2.92354,0.80614,1.38191,0,0.000808828,0.000808828,0.000808828
54,333.346,1.50922,2.86704,1.04343,1.40456,0,0.79527,0.8124,0.86792,0.47192,0.73957,0.67668,0.70582,0.30334,1.71404,3.07841,1.03514,1.63625,0,0.000792325,0.000792325,0.000792325
55,339.413,1.48414,2.82623,1.04273,1.40084,0,0.81534,0.81726,0.87559,0.52528,0.76147,0.72046,0.74648,0.32831,1.47536,2.99173,0.95395,1.47133,0,0.000775822,0.000775822,0.000775822
56,345.443,1.45222,2.82197,1.00503,1.36885,0,0.69313,0.77083,0.84216,0.5417,0.66147,0.67668,0.71377,0.34451,1.39471,2.84905,1.12358,1.40573,0,0.000759318,0.000759318,0.000759318
57,351.508,1.43609,2.73555,0.98364,1.38621,0,0.86218,0.86947,0.88698,0.55802,0.83109,0.7345,0.75639,0.36238,1.44496,2.91969,0.8603,1.45571,0,0.000742815,0.000742815,0.000742815
58,357.575,1.44406,2.75137,0.98831,1.38041,0,0.92484,0.82986,0.88141,0.47538,0.77738,0.69705,0.66901,0.27758,1.83411,3.22266,0.90249,1.69492,0,0.000726312,0.000726312,0.000726312
59,363.616,1.44987,2.79805,1.01945,1.35869,0,0.94157,0.85857,0.89699,0.58765,0.87586,0.79553,0.79444,0.3887,1.37828,2.89914,0.76764,1.42437,0,0.000709809,0.000709809,0.000709809
60,369.678,1.45128,2.8096,1.03337,1.36094,0,0.84802,0.81308,0.87802,0.57183,0.8049,0.76739,0.79476,0.39739,1.36996,2.74856,0.89151,1.38666,0,0.000693305,0.000693305,0.000693305
61,375.818,1.4505,2.7441,0.99905,1.37281,0,0.92684,0.84929,0.8984,0.59582,0.85864,0.78192,0.77661,0.38735,1.34278,2.7739,0.78532,1.38257,0,0.000676802,0.000676802,0.000676802
62,381.894,1.38716,2.70909,0.95578,1.33888,0,0.87111,0.85795,0.89203,0.58632,0.81749,0.80593,0.79963,0.40038,1.33695,2.80523,0.77171,1.36334,0,0.000660299,0.000660299,0.000660299
63,387.945,1.40705,2.71813,0.9644,1.33417,0,0.69779,0.73682,0.83039,0.51884,0.61606,0.67444,0.70123,0.3394,1.43989,2.90501,1.19978,1.43644,0,0.000643795,0.000643795,0.000643795
64,394.02,1.35761,2.65262,0.97362,1.31575,0,0.90515,0.89095,0.90445,0.6111,0.88045,0.79232,0.79403,0.39887,1.25185,2.77358,0.71908,1.34794,0,0.000627292,0.000627292,0.000627292
65,400.061,1.37929,2.67164,0.96279,1.32115,0,0.90612,0.86468,0.89524,0.60345,0.85063,0.81065,0.79495,0.42032,1.26286,2.6697,0.75986,1.34217,0,0.000610789,0.000610789,0.000610789
66,406.122,1.36273,2.6538,0.92619,1.31192,0,0.77043,0.83543,0.86574,0.55667,0.71591,0.76426,0.75355,0.37797,1.36749,2.84328,0.90953,1.38633,0,0.000594286,0.000594286,0.000594286
67,412.19,1.41987,2.68304,0.94467,1.34097,0,0.91459,0.83289,0.88487,0.57859,0.85954,0.78449,0.79229,0.39807,1.39173,2.73925,0.79281,1.38782,0,0.000577782,0.000577782,0.000577782
68,418.356,1.3645,2.65874,0.91904,1.29258,0,0.90998,0.8232,0.89362,0.58748,0.85445,0.79036,0.7875,0.40545,1.34857,2.69245,0.78536,1.37176,0,0.000561279,0.000561279,0.000561279
69,424.441,1.37385,2.63028,0.92822,1.32187,0,0.93914,0.84897,0.90021,0.59989,0.88597,0.79757,0.80849,0.41694,1.29146,2.70596,0.77594,1.33288,0,0.000544776,0.000544776,0.000544776
70,430.493,1.36597,2.62692,0.91876,1.30616,0,0.93251,0.85394,0.90443,0.6214,0.87893,0.80236,0.81091,0.42977,1.23693,2.61506,0.72201,1.32175,0,0.000528272,0.000528272,0.000528272
71,437.027,1.33906,2.62551,0.87438,1.29236,0,0.88901,0.83118,0.89644,0.53867,0.81801,0.73678,0.74251,0.3293,1.54601,2.94482,0.82032,1.47776,0,0.000511769,0.000511769,0.000511769
72,443.014,1.29696,2.58049,0.87487,1.26929,0,0.94389,0.8641,0.91116,0.63413,0.88554,0.83526,0.82317,0.41911,1.20438,2.59334,0.70084,1.30046,0,0.000495266,0.000495266,0.000495266
73,449.091,1.33178,2.58868,0.8959,1.30133,0,0.9182,0.8858,0.91344,0.63041,0.84345,0.80559,0.77752,0.40144,1.25999,2.72075,0.69457,1.34423,0,0.000478762,0.000478762,0.000478762
74,455.115,1.34259,2.62162,0.90507,1.3091,0,0.91373,0.87986,0.91241,0.60375,0.83794,0.81432,0.79115,0.39795,1.33632,2.7504,0.70817,1.39395,0,0.000462259,0.000462259,0.000462259
75,461.256,1.31321,2.6372,0.871,1.30036,0,0.9105,0.82888,0.90057,0.61065,0.85314,0.77289,0.79357,0.40181,1.26094,2.68861,0.75002,1.35507,0,0.000445756,0.000445756,0.000445756
76,467.322,1.30001,2.52805,0.85706,1.2822,0,0.90277,0.89225,0.90948,0.61396,0.86666,0.82522,0.82534,0.42361,1.25212,2.63519,0.71737,1.34196,0,0.000429253,0.000429253,0.000429253
77,473.348,1.27334,2.57644,0.85694,1.28058,0,0.92588,0.84966,0.91296,0.61432,0.84397,0.79098,0.79885,0.40739,1.26377,2.6307,0.70605,1.32813,0,0.000412749,0.000412749,0.000412749
78,479.385,1.30001,2.52138,0.86163,1.27984,0,0.90428,0.84338,0.90229,0.58983,0.84472,0.7912,0.81703,0.41536,1.31673,2.67956,0.72995,1.35291,0,0.000396246,0.000396246,0.000396246
79,485.422,1.25293,2.51845,0.82498,1.24802,0,0.94847,0.85699,0.91164,0.61081,0.90029,0.81389,0.8359,0.43805,1.25461,2.59443,0.68474,1.33539,0,0.000379743,0.000379743,0.000379743
80,491.438,1.24423,2.50361,0.82276,1.24837,0,0.89411,0.87686,0.90304,0.62793,0.85116,0.80933,0.80785,0.43879,1.25525,2.58219,0.66245,1.33855,0,0.000363239,0.000363239,0.000363239
81,497.485,1.24517,2.48328,0.84695,1.25719,0,0.9182,0.89155,0.897,0.59699,0.88132,0.81381,0.81807,0.42514,1.34265,2.68928,0.6815,1.39315,0,0.000346736,0.000346736,0.000346736
82,503.61,1.24881,2.48041,0.82185,1.25933,0,0.90389,0.88695,0.89127,0.61412,0.88097,0.81725,0.81538,0.43328,1.23497,2.59283,0.71925,1.31119,0,0.000330233,0.000330233,0.000330233
83,509.661,1.22986,2.50964,0.84458,1.23531,0,0.87543,0.88286,0.905,0.61781,0.83476,0.80539,0.81405,0.43152,1.26238,2.62688,0.71432,1.31658,0,0.000313729,0.000313729,0.000313729
84,515.688,1.22339,2.47732,0.79698,1.23909,0,0.8964,0.91145,0.91836,0.62629,0.86153,0.8377,0.83808,0.45009,1.25197,2.56083,0.6927,1.34655,0,0.000297226,0.000297226,0.000297226
85,521.739,1.2115,2.45266,0.8165,1.2315,0,0.925,0.87396,0.90602,0.6307,0.88947,0.82235,0.82811,0.43331,1.18805,2.58501,0.69906,1.28816,0,0.000280723,0.000280723,0.000280723
86,527.79,1.21669,2.47183,0.81396,1.23363,0,0.88619,0.83747,0.90027,0.62575,0.84222,0.79777,0.81268,0.42746,1.18837,2.60691,0.71891,1.3106,0,0.00026422,0.00026422,0.00026422
87,533.86,1.18908,2.45211,0.81281,1.21918,0,0.92493,0.88096,0.91984,0.63606,0.87736,0.83559,0.841,0.44561,1.21489,2.5673,0.66071,1.31874,0,0.000247716,0.000247716,0.000247716
88,540.024,1.19274,2.44814,0.82111,1.22114,0,0.91414,0.88445,0.90915,0.62911,0.8753,0.82091,0.82873,0.42769,1.20642,2.58182,0.68434,1.29282,0,0.000231213,0.000231213,0.000231213
89,546.062,1.18294,2.40992,0.75702,1.21503,0,0.93203,0.88374,0.91609,0.6269,0.88933,0.83424,0.84772,0.43952,1.24076,2.58572,0.64481,1.32229,0,0.00021471,0.00021471,0.00021471
90,552.094,1.16434,2.39148,0.78954,1.21599,0,0.93251,0.86414,0.90956,0.62977,0.90216,0.82601,0.83445,0.44514,1.19327,2.51646,0.65575,1.30421,0,0.000198206,0.000198206,0.000198206
91,559.005,1.00714,2.16365,0.54451,1.16805,0,0.88648,0.84454,0.89355,0.61186,0.83548,0.78527,0.80392,0.42561,1.24416,2.56962,0.75147,1.3401,0,0.000181703,0.000181703,0.000181703
92,565.071,0.98733,2.12787,0.54009,1.13895,0,0.93749,0.88362,0.91383,0.62698,0.89274,0.84096,0.8442,0.44113,1.22448,2.55026,0.66337,1.3249,0,0.0001652,0.0001652,0.0001652
93,571.108,0.98452,2.13053,0.52098,1.1381,0,0.9364,0.88308,0.91777,0.64464,0.88459,0.82862,0.83332,0.44606,1.16981,2.51214,0.64864,1.30291,0,0.000148696,0.000148696,0.000148696
94,577.159,0.9787,2.08901,0.52158,1.15042,0,0.91713,0.90874,0.91818,0.65994,0.89409,0.86491,0.86961,0.47037,1.12423,2.47627,0.62348,1.27024,0,0.000132193,0.000132193,0.000132193
95,583.345,0.95126,2.07236,0.52292,1.12517,0,0.93078,0.86267,0.91588,0.64243,0.88905,0.80662,0.83727,0.44806,1.17558,2.50248,0.65224,1.29045,0,0.00011569,0.00011569,0.00011569
96,589.384,0.94728,2.06527,0.5128,1.12298,0,0.91015,0.88561,0.9126,0.65468,0.86549,0.84975,0.84842,0.46188,1.13331,2.52464,0.62297,1.27792,0,9.91865e-05,9.91865e-05,9.91865e-05
97,595.437,0.93718,2.06971,0.51011,1.13058,0,0.92421,0.89534,0.91369,0.64811,0.88822,0.84566,0.85307,0.4643,1.15137,2.4899,0.62285,1.29393,0,8.26832e-05,8.26832e-05,8.26832e-05
98,601.512,0.94382,2.06197,0.50574,1.12662,0,0.92783,0.86048,0.91127,0.65577,0.89377,0.82718,0.85504,0.46595,1.10858,2.46819,0.61891,1.26736,0,6.61799e-05,6.61799e-05,6.61799e-05
99,607.547,0.91508,2.03521,0.48863,1.10543,0,0.92683,0.86155,0.91478,0.65773,0.87722,0.82543,0.84942,0.46404,1.12161,2.48716,0.62513,1.27025,0,4.96766e-05,4.96766e-05,4.96766e-05
100,613.612,0.92486,2.03337,0.4926,1.11702,0,0.90409,0.90012,0.91867,0.66171,0.8892,0.83822,0.85449,0.46743,1.10104,2.46385,0.61582,1.26498,0,3.31733e-05,3.31733e-05,3.31733e-05
