epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,9.83933,2.54451,4.88623,10.8087,0.02315,5.51996,0.00297,0.64707,0.01872,0.00401,0.00048,0.1124,0.00198,0.00055,2.34196,5.25758,5.54887,0.02683,0,0.000550615,0.000550615,0.000550615
2,18.6778,2.21814,4.49177,7.19391,0.01877,3.35802,0.00304,0.72418,0.0233,0.00482,0.00152,0.43147,0.01969,0.00276,2.5883,4.94622,4.53725,0.03106,0,0.00109533,0.00109533,0.00109533
3,27.0539,2.2131,4.40456,5.4718,0.01883,2.77852,0.20553,0.14753,0.11561,0.03025,0.12161,0.09079,0.05172,0.00956,2.17871,4.71472,3.23221,0.02515,0,0.00162904,0.00162904,0.00162904
4,35.4026,2.18584,4.23344,4.33042,0.01838,2.03059,0.23787,0.20074,0.10451,0.02794,0.05251,0.04542,0.01652,0.00203,2.20342,5.16182,3.3733,0.02615,0,0.00161749,0.00161749,0.00161749
5,43.7913,2.18654,4.23762,3.75977,0.01815,1.78255,0.22016,0.36733,0.16044,0.04227,0.14999,0.28734,0.10008,0.02344,2.32498,4.4113,2.90568,0.02726,0,0.00160099,0.00160099,0.00160099
6,52.1198,2.15947,4.11766,3.36547,0.01828,1.613,0.28055,0.2822,0.1755,0.05347,0.1984,0.19918,0.09882,0.0209,1.98468,4.7197,2.84816,0.02268,0,0.00158448,0.00158448,0.00158448
7,60.4076,2.09747,4.04992,3.12608,0.01686,1.6191,0.28778,0.44214,0.28029,0.07478,0.22681,0.30038,0.1672,0.03924,2.05991,4.18522,2.55967,0.02357,0,0.00156798,0.00156798,0.00156798
8,68.7193,2.13416,3.94069,2.81256,0.01744,1.53536,0.3825,0.51913,0.37341,0.12584,0.28212,0.41214,0.2059,0.04773,2.08877,4.20576,2.20339,0.02398,0,0.00155148,0.00155148,0.00155148
9,77.11,2.18679,3.81769,2.65796,0.01772,1.47707,0.25422,0.36561,0.20269,0.06039,0.18249,0.28618,0.11807,0.02363,2.43715,4.13019,2.6978,0.02776,0,0.00153497,0.00153497,0.00153497
10,85.3842,2.15765,3.86008,2.59102,0.01673,1.46527,0.51548,0.49153,0.4746,0.12393,0.28935,0.26345,0.17494,0.02949,2.63606,4.94002,2.28096,0.0303,0,0.00151847,0.00151847,0.00151847
